id_laporan,id_segmen,id_pelapor,waktu,latitude,longitude,deskripsi,foto_url,status,id_cluster_duplikat,is_simulation
L000,S00,W000,2026-09-01T17:00:00+07:00,-6.18,106.5225,"Di Jalan simulasi Tangerang 00 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C000,True
L001,S01,W001,2026-09-02T17:00:00+07:00,-6.171,106.51,"Di Jalan simulasi Tangerang 01 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C001,True
L002,S02,W002,2026-09-03T17:00:00+07:00,-6.18,106.5475,"Di Jalan simulasi Tangerang 02 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C002,True
L003,S03,W003,2026-09-04T17:00:00+07:00,-6.171,106.535,"Di Jalan simulasi Tangerang 03 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C003,True
L004,S04,W004,2026-09-05T17:00:00+07:00,-6.18,106.5725,"Di Jalan simulasi Tangerang 04 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C004,True
L005,S05,W005,2026-09-06T17:00:00+07:00,-6.171,106.56,"Di Jalan simulasi Tangerang 05 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C005,True
L006,S06,W006,2026-09-07T17:00:00+07:00,-6.18,106.5975,"Di Jalan simulasi Tangerang 06 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C006,True
L007,S07,W007,2026-09-08T17:00:00+07:00,-6.171,106.585,"Di Jalan simulasi Tangerang 07 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C007,True
L008,,W008,2026-09-01T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L009,S09,W009,2026-09-02T17:00:00+07:00,-6.162,106.5225,"Di Jalan simulasi Tangerang 09 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C009,True
L010,S10,W010,2026-09-03T17:00:00+07:00,-6.153,106.51,"Di Jalan simulasi Tangerang 10 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C010,True
L011,S11,W011,2026-09-04T17:00:00+07:00,-6.162,106.5475,"Di Jalan simulasi Tangerang 11 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C011,True
L012,S12,W012,2026-09-05T17:00:00+07:00,-6.153,106.535,"Di Jalan simulasi Tangerang 12 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C012,True
L013,S13,W013,2026-09-06T17:00:00+07:00,-6.162,106.5725,"Di Jalan simulasi Tangerang 13 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C013,True
L014,S14,W014,2026-09-07T17:00:00+07:00,-6.153,106.56,"Di Jalan simulasi Tangerang 14 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C014,True
L015,S15,W015,2026-09-08T17:00:00+07:00,-6.162,106.5975,"Di Jalan simulasi Tangerang 15 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C015,True
L016,S16,W016,2026-09-01T17:00:00+07:00,-6.153,106.585,"Di Jalan simulasi Tangerang 16 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C016,True
L017,S17,W017,2026-09-02T17:00:00+07:00,-6.153,106.61,"Di Jalan simulasi Tangerang 17 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C017,True
L018,,W018,2026-09-03T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L019,S19,W019,2026-09-04T17:00:00+07:00,-6.135,106.51,"Di Jalan simulasi Tangerang 19 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C019,True
L020,S00,W020,2026-09-05T17:00:00+07:00,-6.18,106.5225,"Di Jalan simulasi Tangerang 00 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C020,True
L021,S01,W021,2026-09-06T17:00:00+07:00,-6.171,106.51,"Di Jalan simulasi Tangerang 01 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C021,True
L022,S02,W022,2026-09-07T17:00:00+07:00,-6.18,106.5475,"Di Jalan simulasi Tangerang 02 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C022,True
L023,S03,W023,2026-09-08T17:00:00+07:00,-6.171,106.535,"Di Jalan simulasi Tangerang 03 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C023,True
L024,S04,W024,2026-09-01T17:00:00+07:00,-6.18,106.5725,"Di Jalan simulasi Tangerang 04 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C024,True
L025,S05,W025,2026-09-02T17:00:00+07:00,-6.171,106.56,"Di Jalan simulasi Tangerang 05 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C025,True
L026,S06,W026,2026-09-03T17:00:00+07:00,-6.18,106.5975,"Di Jalan simulasi Tangerang 06 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C026,True
L027,S07,W027,2026-09-04T17:00:00+07:00,-6.171,106.585,"Di Jalan simulasi Tangerang 07 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C027,True
L028,,W028,2026-09-05T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L029,S09,W029,2026-09-06T17:00:00+07:00,-6.162,106.5225,"Di Jalan simulasi Tangerang 09 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C029,True
L030,S10,W030,2026-09-07T17:00:00+07:00,-6.153,106.51,"Di Jalan simulasi Tangerang 10 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C030,True
L031,S11,W031,2026-09-08T17:00:00+07:00,-6.162,106.5475,"Di Jalan simulasi Tangerang 11 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C031,True
L032,S12,W032,2026-09-01T17:00:00+07:00,-6.153,106.535,"Di Jalan simulasi Tangerang 12 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C032,True
L033,S13,W033,2026-09-02T17:00:00+07:00,-6.162,106.5725,"Di Jalan simulasi Tangerang 13 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C033,True
L034,S14,W034,2026-09-03T17:00:00+07:00,-6.153,106.56,"Di Jalan simulasi Tangerang 14 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C034,True
L035,S15,W035,2026-09-04T17:00:00+07:00,-6.162,106.5975,"Di Jalan simulasi Tangerang 15 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C035,True
L036,S16,W036,2026-09-05T17:00:00+07:00,-6.153,106.585,"Di Jalan simulasi Tangerang 16 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C036,True
L037,S17,W037,2026-09-06T17:00:00+07:00,-6.153,106.61,"Di Jalan simulasi Tangerang 17 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C037,True
L038,,W038,2026-09-07T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L039,S19,W039,2026-09-08T17:00:00+07:00,-6.135,106.51,"Di Jalan simulasi Tangerang 19 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C039,True
L040,S00,W040,2026-09-01T17:00:00+07:00,-6.18,106.5225,"Di Jalan simulasi Tangerang 00 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C040,True
L041,S01,W041,2026-09-02T17:00:00+07:00,-6.171,106.51,"Di Jalan simulasi Tangerang 01 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C041,True
L042,S02,W042,2026-09-03T17:00:00+07:00,-6.18,106.5475,"Di Jalan simulasi Tangerang 02 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C042,True
L043,S03,W043,2026-09-04T17:00:00+07:00,-6.171,106.535,"Di Jalan simulasi Tangerang 03 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C043,True
L044,S04,W044,2026-09-05T17:00:00+07:00,-6.18,106.5725,"Di Jalan simulasi Tangerang 04 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C044,True
L045,S05,W045,2026-09-06T17:00:00+07:00,-6.171,106.56,"Di Jalan simulasi Tangerang 05 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C045,True
L046,S06,W046,2026-09-07T17:00:00+07:00,-6.18,106.5975,"Di Jalan simulasi Tangerang 06 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C046,True
L047,S07,W047,2026-09-08T17:00:00+07:00,-6.171,106.585,"Di Jalan simulasi Tangerang 07 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C047,True
L048,,W048,2026-09-01T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L049,S09,W049,2026-09-02T17:00:00+07:00,-6.162,106.5225,"Di Jalan simulasi Tangerang 09 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C049,True
L050,S10,W050,2026-09-03T17:00:00+07:00,-6.153,106.51,"Di Jalan simulasi Tangerang 10 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C050,True
L051,S11,W051,2026-09-04T17:00:00+07:00,-6.162,106.5475,"Di Jalan simulasi Tangerang 11 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C051,True
L052,S12,W052,2026-09-05T17:00:00+07:00,-6.153,106.535,"Di Jalan simulasi Tangerang 12 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C052,True
L053,S13,W053,2026-09-06T17:00:00+07:00,-6.162,106.5725,"Di Jalan simulasi Tangerang 13 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C053,True
L054,S14,W054,2026-09-07T17:00:00+07:00,-6.153,106.56,"Di Jalan simulasi Tangerang 14 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C054,True
L055,S15,W055,2026-09-08T17:00:00+07:00,-6.162,106.5975,"Di Jalan simulasi Tangerang 15 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C055,True
L056,S16,W056,2026-09-01T17:00:00+07:00,-6.153,106.585,"Di Jalan simulasi Tangerang 16 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C056,True
L057,S17,W057,2026-09-02T17:00:00+07:00,-6.153,106.61,"Di Jalan simulasi Tangerang 17 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C057,True
L058,,W058,2026-09-03T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L059,S19,W059,2026-09-04T17:00:00+07:00,-6.135,106.51,"Di Jalan simulasi Tangerang 19 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C059,True
L060,S00,W060,2026-09-05T17:00:00+07:00,-6.18,106.5225,"Di Jalan simulasi Tangerang 00 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C060,True
L061,S01,W061,2026-09-06T17:00:00+07:00,-6.171,106.51,"Di Jalan simulasi Tangerang 01 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C061,True
L062,S02,W062,2026-09-07T17:00:00+07:00,-6.18,106.5475,"Di Jalan simulasi Tangerang 02 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C062,True
