id_laporan,jenis,dampak,info_kurang,split,is_simulation
L000,berlubang,kendaraan_bergantian,,test,True
L001,berlubang,kendaraan_bergantian,,development,True
L002,berlubang,kendaraan_bergantian,,development,True
L003,berlubang,kendaraan_bergantian,,development,True
L004,berlubang,kendaraan_bergantian,,development,True
L005,berlubang,kendaraan_bergantian,,test,True
L006,berlubang,kendaraan_bergantian,,development,True
L007,berlubang,kendaraan_bergantian,,development,True
L008,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L009,berlubang,kendaraan_bergantian,,development,True
L010,berlubang,kendaraan_bergantian,,test,True
L011,berlubang,kendaraan_bergantian,,development,True
L012,berlubang,kendaraan_bergantian,,development,True
L013,berlubang,kendaraan_bergantian,,development,True
L014,berlubang,kendaraan_bergantian,,development,True
L015,berlubang,kendaraan_bergantian,,test,True
L016,berlubang,kendaraan_bergantian,,development,True
L017,berlubang,kendaraan_bergantian,,development,True
L018,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L019,berlubang,kendaraan_bergantian,,development,True
L020,berlubang,kendaraan_bergantian,,test,True
L021,berlubang,kendaraan_bergantian,,development,True
L022,berlubang,kendaraan_bergantian,,development,True
L023,berlubang,kendaraan_bergantian,,development,True
L024,berlubang,kendaraan_bergantian,,development,True
L025,berlubang,kendaraan_bergantian,,test,True
L026,berlubang,kendaraan_bergantian,,development,True
L027,berlubang,kendaraan_bergantian,,development,True
L028,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L029,berlubang,kendaraan_bergantian,,development,True
L030,berlubang,kendaraan_bergantian,,test,True
L031,berlubang,kendaraan_bergantian,,development,True
L032,berlubang,kendaraan_bergantian,,development,True
L033,berlubang,kendaraan_bergantian,,development,True
L034,berlubang,kendaraan_bergantian,,development,True
L035,berlubang,kendaraan_bergantian,,test,True
L036,berlubang,kendaraan_bergantian,,development,True
L037,berlubang,kendaraan_bergantian,,development,True
L038,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L039,berlubang,kendaraan_bergantian,,development,True
L040,berlubang,kendaraan_bergantian,,test,True
L041,berlubang,kendaraan_bergantian,,development,True
L042,berlubang,kendaraan_bergantian,,development,True
L043,berlubang,kendaraan_bergantian,,development,True
L044,berlubang,kendaraan_bergantian,,development,True
L045,berlubang,kendaraan_bergantian,,test,True
L046,berlubang,kendaraan_bergantian,,development,True
L047,berlubang,kendaraan_bergantian,,development,True
L048,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L049,berlubang,kendaraan_bergantian,,development,True
L050,berlubang,kendaraan_bergantian,,test,True
L051,berlubang,kendaraan_bergantian,,development,True
L052,berlubang,kendaraan_bergantian,,development,True
L053,berlubang,kendaraan_bergantian,,development,True
L054,berlubang,kendaraan_bergantian,,development,True
L055,berlubang,kendaraan_bergantian,,test,True
L056,berlubang,kendaraan_bergantian,,development,True
L057,berlubang,kendaraan_bergantian,,development,True
L058,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L059,berlubang,kendaraan_bergantian,,development,True
L060,berlubang,kendaraan_bergantian,,test,True
L061,berlubang,kendaraan_bergantian,,development,True
L062,berlubang,kendaraan_bergantian,,development,True
L063,berlubang,kendaraan_bergantian,,development,True
L064,berlubang,kendaraan_bergantian,,development,True
L065,berlubang,kendaraan_bergantian,,test,True
L066,berlubang,kendaraan_bergantian,,development,True
L067,berlubang,kendaraan_bergantian,,development,True
L068,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L069,berlubang,kendaraan_bergantian,,development,True
L070,berlubang,kendaraan_bergantian,,test,True
L071,berlubang,kendaraan_bergantian,,development,True
L072,berlubang,kendaraan_bergantian,,development,True
L073,berlubang,kendaraan_bergantian,,development,True
L074,berlubang,kendaraan_bergantian,,development,True
L075,berlubang,kendaraan_bergantian,,test,True
L076,berlubang,kendaraan_bergantian,,development,True
L077,berlubang,kendaraan_bergantian,,development,True
L078,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L079,berlubang,kendaraan_bergantian,,development,True
L080,berlubang,kendaraan_bergantian,,test,True
L081,berlubang,kendaraan_bergantian,,development,True
L082,berlubang,kendaraan_bergantian,,development,True
L083,berlubang,kendaraan_bergantian,,development,True
L084,berlubang,kendaraan_bergantian,,development,True
L085,berlubang,kendaraan_bergantian,,test,True
L086,berlubang,kendaraan_bergantian,,development,True
L087,berlubang,kendaraan_bergantian,,development,True
L088,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L089,berlubang,kendaraan_bergantian,,development,True
L090,berlubang,kendaraan_bergantian,,test,True
L091,berlubang,kendaraan_bergantian,,development,True
L092,berlubang,kendaraan_bergantian,,development,True
L093,berlubang,kendaraan_bergantian,,development,True
L094,berlubang,kendaraan_bergantian,,development,True
L095,berlubang,kendaraan_bergantian,,test,True
L096,berlubang,kendaraan_bergantian,,development,True
L097,berlubang,kendaraan_bergantian,,development,True
L098,kerusakan_tidak_spesifik,tidak_disebutkan,lokasi_pasti;detail_kerusakan,development,True
L099,berlubang,kendaraan_bergantian,,development,True
